PCS-ID,Title,Year,DOI,DOI URL
2038,Coherent Visualization of 2D Scalar Field Contour Ensembles With Probabilistic Latent Space Modeling,2026,10.vis2026/2038,https://doi.org/10.vis2026/2038
2040,Guided Exploration of Iterative Schedule Modifications: A Design Study on Railway Traction Unit Scheduling,2026,10.vis2026/2040,https://doi.org/10.vis2026/2040
2046,Libra+: Compositional Interaction for Data Visualization,2026,10.vis2026/2046,https://doi.org/10.vis2026/2046
2049,SocialFiVis: A Visual Analytics Sandbox for LLM-Grounded Multi-Agent Simulation in Social Finance,2026,10.vis2026/2049,https://doi.org/10.vis2026/2049
2057,Visual Indicators to Increase the Detection of Linguistic Media Bias,2026,10.vis2026/2057,https://doi.org/10.vis2026/2057
2062,ProvTales: A Dataset for Key Narrative Extraction from Provenance Graphs,2026,10.vis2026/2062,https://doi.org/10.vis2026/2062
2067,Probe-Driven Visual Analytics for Diagnosing and Enhancing Physical Knowledge in Air Quality Forecasting Models,2026,10.vis2026/2067,https://doi.org/10.vis2026/2067
2081,FeatureZ: A general Framework for Feature-Preserving Compression via Pointwise Bounds and Star Classification,2026,10.vis2026/2081,https://doi.org/10.vis2026/2081
2085,Loom: Multi-Region Analysis of Spatial Transcriptomics with Local Neighborhoods and Global Trajectories,2026,10.vis2026/2085,https://doi.org/10.vis2026/2085
2088,DiffGraph: Controllable Graph Layout Generation with Diffusion Models,2026,10.vis2026/2088,https://doi.org/10.vis2026/2088
2104,LiverPlan: A Stage-Adaptive Immersive Visual Analytics Framework for Anatomical Liver Surgical Planning,2026,10.vis2026/2104,https://doi.org/10.vis2026/2104
2111,A Task-Driven Framework for Multiscale Ocean Flow Dynamics through Integrated Simulation and Visualization,2026,10.vis2026/2111,https://doi.org/10.vis2026/2111
2120,Visualize the Invisible: Exposing Causal Layers in GPU Performance Analysis through Milestone Abstractions,2026,10.vis2026/2120,https://doi.org/10.vis2026/2120
2131,Situatedness in Visualization Design: Making Unresolved Work Actionable,2026,10.vis2026/2131,https://doi.org/10.vis2026/2131
2132,Design Knowledge in Data Visualization: Mapping the Epistemic Landscape,2026,10.vis2026/2132,https://doi.org/10.vis2026/2132
2151,UrbanTrace: LLM-Assisted Discovery and Semantics-Aware Integration of Spatial Data,2026,10.vis2026/2151,https://doi.org/10.vis2026/2151
2165,Linking Heterogeneous Data with Coordinated Agent Flows for Social Media Analysis,2026,10.vis2026/2165,https://doi.org/10.vis2026/2165
2171,Embedding Video into Collaborative Visualizations: Hybrid Gesture Interaction and Snapping Fisheye Support for Remote Sensemaking,2026,10.vis2026/2171,https://doi.org/10.vis2026/2171
2178,Automatic Transfer Function Design via MLLM-Assisted 2D Semantic Decomposition,2026,10.vis2026/2178,https://doi.org/10.vis2026/2178
2214,Authoring Narrative Visualization in Motion:Visual Storytelling in Swimming Videos,2026,10.vis2026/2214,https://doi.org/10.vis2026/2214
